Name,Type1,Type2
bulbasaur,Grass,Poison
ivysaur,Grass,Poison
venusaur,Grass,Poison
charmander,Fire
charmeleon,Fire
charizard,Fire,Flying
dedenne,Electric,Fairy
carbink,Rock,Fairy
goomy,Dragon
sliggoo,Dragon
goodra,Dragon
klefki,Steel,Fairy
phantump,Ghost,Grass
trevenant,Ghost,Grass
pumpkaboo-average,Ghost,Grass
gourgeist-average,Ghost,Grass
bergmite,Ice
avalugg,Ice
noibat,Flying,Dragon
noivern,Flying,Dragon
xerneas,Fairy
yveltal,Dark,Flying
zygarde-50,Dragon,Ground
diancie,Rock,Fairy
hoopa-confined,Psychic,Ghost
volcanion,Fire,Water
rowlet,Grass,Flying
dartrix,Grass,Flying
decidueye,Grass,Ghost
litten,Fire
torracat,Fire
incineroar,Fire,Dark
popplio,Water
brionne,Water
primarina,Water,Fairy
pikipek,Normal,Flying
trumbeak,Normal,Flying
toucannon,Normal,Flying
yungoos,Normal
gumshoos,Normal
grubbin,Bug
charjabug,Bug,Electric
vikavolt,Bug,Electric
crabrawler,Fighting
crabominable,Fighting,Ice
oricorio-baile,Fire,Flying
cutiefly,Bug,Fairy
ribombee,Bug,Fairy
rockruff,Rock
lycanroc-midday,Rock
wishiwashi-solo,Water
mareanie,Poison,Water
toxapex,Poison,Water
mudbray,Ground
mudsdale,Ground
dewpider,Water,Bug
araquanid,Water,Bug
fomantis,Grass
lurantis,Grass
morelull,Grass,Fairy
shiinotic,Grass,Fairy
salandit,Poison,Fire
salazzle,Poison,Fire
stufful,Normal,Fighting
bewear,Normal,Fighting
bounsweet,Grass
steenee,Grass
tsareena,Grass
comfey,Fairy
oranguru,Normal,Psychic
passimian,Fighting
wimpod,Bug,Water
golisopod,Bug,Water
sandygast,Ghost,Ground
palossand,Ghost,Ground
pyukumuku,Water
type-null,Normal
silvally,Normal
minior-meteor,Rock,Flying
komala,Normal
turtonator,Fire,Dragon
togedemaru,Electric,Steel
mimikyu,Ghost,Fairy
bruxish,Water,Psychic
drampa,Normal,Dragon
dhelmise,Ghost,Grass
jangmo-o,Dragon
hakamo-o,Dragon,Fighting
kommo-o,Dragon,Fighting
tapu-koko,Electric,Fairy
tapu-lele,Psychic,Fairy
tapu-bulu,Grass,Fairy
tapu-fini,Water,Fairy
cosmog,Psychic
cosmoem,Psychic
solgaleo,Psychic,Steel
lunala,Psychic,Ghost
nihilego,Rock,Poison
buzzwole,Bug,Fighting
pheromosa,Bug,Fighting
xurkitree,Electric
celesteela,Steel,Flying
kartana,Grass,Steel
guzzlord,Dark,Dragon
necrozma,Psychic
magearna,Steel,Fairy
marshadow,Fighting,Ghost
poipole,Poison
naganadel,Poison,Dragon
stakataka,Rock,Steel
blacephalon,Fire,Ghost
zeraora,Electric
meltan,Steel
melmetal,Steel
